# packages in environment at /home/thanos/anaconda3/envs/apcconda312:
#
# Name                    Version                   Build  Channel
_anaconda_depends         2025.06             py312_mkl_2  
opentelemetry-instrumentation 0.57b0             pyhd8ed1ab_0    conda-forge
opentelemetry-proto       1.36.0                   pypi_0    pypi
opentelemetry-sdk         1.36.0                   pypi_0    pypi
opentelemetry-semantic-conventions 0.57b0             pyh3cfb1c2_0    conda-forge
opentracing               1.3.0                    pypi_0    pypi
opt-einsum                3.4.0                    pypi_0    pypi
optree                    0.17.0                   pypi_0    pypi
orc                       2.0.1                h17fec99_1    conda-forge
orderly-set               5.5.0              pyhe01879c_0    conda-forge
orjson                    3.11.3          py312h868fb18_0    conda-forge
overrides                 7.7.0              pyhd8ed1ab_1    conda-forge
packaging                 25.0               pyh29332c3_1    conda-forge
paginate                  0.5.7              pyhd8ed1ab_1    conda-forge
pandas                    2.3.2           py312hf79963d_0    conda-forge
pandoc                    3.7.0.2              ha770c72_0    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
panel                     1.7.5              pyhd8ed1ab_0    conda-forge
param                     2.2.1              pyhd8ed1ab_0    conda-forge
parsel                    1.10.0             pyhd8ed1ab_0    conda-forge
parsimonious              0.10.0                   pypi_0    pypi
parso                     0.8.5              pyhcf101f3_0    conda-forge
partd                     1.4.2              pyhd8ed1ab_0    conda-forge
patch                     2.7.6             h7f98852_1002    conda-forge
patchelf                  0.17.2               h58526e2_0    conda-forge
pathspec                  0.12.1             pyhd8ed1ab_1    conda-forge
patsy                     1.0.1              pyhd8ed1ab_1    conda-forge
pcodedmp                  1.2.6                    pypi_0    pypi
pcre2                     10.43                hcad00b1_0    conda-forge
pexpect                   4.9.0              pyhd8ed1ab_1    conda-forge
pickleshare               0.7.5           pyhd8ed1ab_1004    conda-forge
pillow                    10.4.0          py312h5eee18b_0  
pip                       25.2               pyh8b19718_0    conda-forge
pkce                      1.0.3              pyhd8ed1ab_1    conda-forge
pkginfo                   1.12.1.2           pyhd8ed1ab_0    conda-forge
platformdirs              4.4.0              pyhcf101f3_0    conda-forge
plotly                    6.3.0              pyhd8ed1ab_0    conda-forge
pluggy                    1.6.0              pyhd8ed1ab_0    conda-forge
ply                       3.11               pyhd8ed1ab_3    conda-forge
polars                    1.32.3          default_h3512890_0    conda-forge
polars-default            1.32.3           py39hf521cc8_0    conda-forge
preshed                   3.0.9           py312h2ec8cdc_2    conda-forge
prometheus_client         0.22.1             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.52             pyha770c72_0    conda-forge
prompt_toolkit            3.0.52               hd8ed1ab_0    conda-forge
propcache                 0.3.1           py312h178313f_0    conda-forge
protego                   0.5.0              pyhd8ed1ab_0    conda-forge
proto-plus                1.26.1             pyhd8ed1ab_0    conda-forge
protobuf                  6.32.0                   pypi_0    pypi
psutil                    7.0.0           py312h4c3975b_1    conda-forge
psycopg                   3.2.9                    pypi_0    pypi
psycopg-binary            3.2.9                    pypi_0    pypi
psycopg-pool              3.2.6                    pypi_0    pypi
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
ptyprocess                0.7.0              pyhd8ed1ab_1    conda-forge
pure_eval                 0.2.3              pyhd8ed1ab_1    conda-forge
py-cpuinfo                9.0.0              pyhd8ed1ab_1    conda-forge
py-lief                   0.16.6          py312h2ec8cdc_0    conda-forge
py-spy                    0.4.1                    pypi_0    pypi
py-xgboost                3.0.4           cpu_pyhe781eb1_0    conda-forge
py2vega                   0.6.0              pyhd8ed1ab_0    conda-forge
py4j                      0.10.9.9           pyhd8ed1ab_0    conda-forge
pyarrow                   16.1.0          py312h526ad5a_0  
pyasn1                    0.6.1              pyhd8ed1ab_2    conda-forge
pyasn1-modules            0.4.2              pyhd8ed1ab_0    conda-forge
pybind11-abi              5                    hd3eb1b0_0  
pycodestyle               2.12.1             pyhd8ed1ab_1    conda-forge
pycosat                   0.6.6           py312h66e93f0_2    conda-forge
pycparser                 2.22               pyh29332c3_1    conda-forge
pycryptodome              3.23.0          py312h6368725_0    conda-forge
pyct                      0.5.0              pyhd8ed1ab_1    conda-forge
pycurl                    7.45.3          py312h6ac1089_2    conda-forge
pydantic                  2.11.7             pyh3cfb1c2_0    conda-forge
pydantic-core             2.33.2          py312h680f630_0    conda-forge
pydeck                    0.8.0              pyhd8ed1ab_0    conda-forge
pydispatcher              2.0.5                      py_1    conda-forge
pydocstyle                6.3.0              pyhd8ed1ab_1    conda-forge
pyerfa                    2.0.1.5         py312hc0a28a1_0    conda-forge
pyflakes                  3.2.0              pyhd8ed1ab_1    conda-forge
pygments                  2.19.2             pyhd8ed1ab_0    conda-forge
pyjwt                     2.10.1             pyhd8ed1ab_0    conda-forge
pylint                    3.3.8              pyhe01879c_0    conda-forge
pylint-venv               3.0.4              pyhd8ed1ab_1    conda-forge
pyls-spyder               0.4.0              pyhd8ed1ab_1    conda-forge
pymdown-extensions        10.16.1            pyhd8ed1ab_0    conda-forge
pymysql                   1.1.2                    pypi_0    pypi
pyodbc                    5.2.0           py312h2ec8cdc_0    conda-forge
pyopenssl                 25.1.0             pyhd8ed1ab_0    conda-forge
pyparsing                 3.2.3              pyhe01879c_2    conda-forge
pyproject-hooks           1.2.0                    pypi_0    pypi
pyqt                      5.15.10         py312h6a678d5_0  
pyqt5-sip                 12.13.0         py312h5eee18b_0  
pyqtwebengine             5.15.10         py312h6a678d5_0  
pysocks                   1.7.1              pyha55dd90_7    conda-forge
pyspark                   4.0.0              pyhd8ed1ab_0    conda-forge
pyspnego                  0.11.2                   pypi_0    pypi
pytables                  3.9.2           py312h96d95ec_2    conda-forge
pytest                    8.4.1              pyhd8ed1ab_0    conda-forge
python                    3.12.3          hab00c5b_0_cpython    conda-forge
python-dateutil           2.9.0post0      py312h06a4308_2  
python-docx               1.2.0              pyhff2d567_0    conda-forge
python-dotenv             1.1.1              pyhe01879c_0    conda-forge
python-duckdb             1.3.2           py312h1289d80_0    conda-forge
python-fastjsonschema     2.21.2             pyhe01879c_0    conda-forge
python-gil                3.12.11              hd8ed1ab_0    conda-forge
python-json-logger        2.0.7              pyhd8ed1ab_0    conda-forge
python-libarchive-c       5.3                pyhe01879c_1    conda-forge
python-lmdb               1.7.3           py312h8285ef7_1    conda-forge
python-lsp-black          2.0.0              pyhff2d567_1    conda-forge
python-lsp-jsonrpc        1.1.2              pyhff2d567_1    conda-forge
python-lsp-server         1.12.2             pyhff2d567_0    conda-forge
python-lsp-server-base    1.12.2             pyhd8ed1ab_0    conda-forge
python-multipart          0.0.20                   pypi_0    pypi
python-slugify            8.0.4              pyhd8ed1ab_1    conda-forge
python-tzdata             2025.2             pyhd8ed1ab_0    conda-forge
python-xxhash             3.5.0           py312h0d868a3_3    conda-forge
python_abi                3.12                    8_cp312    conda-forge
pytoolconfig              1.2.6           py312h06a4308_0  
pytz                      2025.2             pyhd8ed1ab_0    conda-forge
pyu2f                     0.1.5              pyhd8ed1ab_1    conda-forge
pyviz_comms               3.0.6              pyhd8ed1ab_0    conda-forge
pywavelets                1.9.0           py312h4f23490_0    conda-forge
pywin32                   311             py312h7beb7c2_0    conda-forge
pyxdg                     0.28               pyhd8ed1ab_0    conda-forge
pyyaml                    6.0.2           py312h178313f_2    conda-forge
pyyaml-env-tag            1.1                pyhd8ed1ab_0    conda-forge
pyzmq                     27.0.2          py312hfb55c3c_2    conda-forge
qdarkstyle                3.2.3              pyhd8ed1ab_1    conda-forge
qhull                     2020.2               h434a139_5    conda-forge
qstylizer                 0.2.4              pyhff2d567_0    conda-forge
qt-main                   5.15.2              h53bd1ea_10  
qt-webengine              5.15.9               h9ab4d14_7  
qtawesome                 1.3.1              pyh9208f05_1    conda-forge
qtconsole                 5.5.2              pyhd8ed1ab_0    conda-forge
qtconsole-base            5.5.2              pyha770c72_0    conda-forge
qtpy                      2.4.3              pyhd8ed1ab_1    conda-forge
queuelib                  1.8.0              pyhd8ed1ab_0    conda-forge
rapidfuzz                 3.14.0          py312h1289d80_0    conda-forge
ray                       2.48.0                   pypi_0    pypi
re2                       2022.04.01           h27087fc_0    conda-forge
reactivex                 4.0.4                    pypi_0    pypi
readline                  8.2                  h8c095d6_2    conda-forge
readme_renderer           44.0               pyhd8ed1ab_1    conda-forge
red-black-tree-mod        1.22                     pypi_0    pypi
redis-py                  6.4.0              pyhd8ed1ab_0    conda-forge
referencing               0.36.2             pyh29332c3_0    conda-forge
regex                     2025.7.34       py312h4c3975b_0    conda-forge
reproc                    14.2.5.post0         hb9d3cd8_0    conda-forge
reproc-cpp                14.2.5.post0         h5888daf_0    conda-forge
requests                  2.32.5             pyhd8ed1ab_0    conda-forge
requests-file             2.1.0              pyhd8ed1ab_1    conda-forge
requests-ntlm             1.3.0                    pypi_0    pypi
requests-toolbelt         1.0.0              pyhd8ed1ab_1    conda-forge
responses                 0.18.0             pyhd8ed1ab_0    conda-forge
retrying                  1.4.2                    pypi_0    pypi
rfc3339-validator         0.1.4              pyhd8ed1ab_1    conda-forge
rfc3986                   2.0.0              pyhd8ed1ab_1    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rfc3987-syntax            1.1.0              pyhe01879c_1    conda-forge
rich                      14.1.0             pyhe01879c_0    conda-forge
rich-toolkit              0.15.0                   pypi_0    pypi
rignore                   0.6.4                    pypi_0    pypi
robinhood-aiokafka        1.1.6                    pypi_0    pypi
roman-numerals-py         3.1.0              pyhd8ed1ab_0    conda-forge
rope                      1.14.0             pyhd8ed1ab_0    conda-forge
rpds-py                   0.27.1          py312h868fb18_0    conda-forge
rsa                       4.9.1              pyhd8ed1ab_0    conda-forge
rstcheck                  6.2.5              pyhd8ed1ab_0    conda-forge
rstcheck-core             1.2.2              pyhd8ed1ab_0    conda-forge
rtfde                     0.1.2.1                  pypi_0    pypi
rtree                     1.4.1              pyh11ca60a_0    conda-forge
ruamel.yaml               0.18.15         py312h4c3975b_0    conda-forge
ruamel.yaml.clib          0.2.8           py312h66e93f0_1    conda-forge
ruamel_yaml               0.17.21         py312h5eee18b_0  
s2n                       1.3.31               h3358134_0    conda-forge
s3fs                      2025.7.0           pyhd8ed1ab_0    conda-forge
s3transfer                0.13.1             pyhd8ed1ab_0    conda-forge
safetensors               0.6.2           py312h0ccc70a_1    conda-forge
scikit-image              0.25.2          py312hf9745cd_1    conda-forge
scikit-learn              1.7.1           py312h4f0b9e3_0    conda-forge
scipy                     1.13.1          py312hc2bc53b_0    conda-forge
scrapy                    2.13.3             pyhd8ed1ab_0    conda-forge
seaborn                   0.13.2               hd8ed1ab_3    conda-forge
seaborn-base              0.13.2             pyhd8ed1ab_3    conda-forge
secretstorage             3.3.3           py312h7900ff3_3    conda-forge
semver                    3.0.4              pyhd8ed1ab_0    conda-forge
send2trash                1.8.3              pyh0d859eb_1    conda-forge
sentence-transformers     5.1.0                    pypi_0    pypi
sentry-sdk                2.35.0                   pypi_0    pypi
service-identity          24.2.0             pyha770c72_1    conda-forge
service_identity          24.2.0               hd8ed1ab_1    conda-forge
setuptools                80.9.0             pyhff2d567_0    conda-forge
shellingham               1.5.4              pyhd8ed1ab_1    conda-forge
simplejson                3.20.1          py312h66e93f0_0    conda-forge
singlestoredb             1.15.2                   pypi_0    pypi
sip                       6.7.12          py312h30efb56_0    conda-forge
six                       1.17.0             pyhe01879c_1    conda-forge
smart-open                7.3.0.post1          h87fe6b5_0    conda-forge
smart_open                7.3.0.post1        pyhe01879c_0    conda-forge
smmap                     5.0.2              pyhd8ed1ab_0    conda-forge
snappy                    1.2.2                h03e3b7b_0    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_1    conda-forge
snowballstemmer           3.0.1              pyhd8ed1ab_0    conda-forge
sortedcontainers          2.4.0              pyhd8ed1ab_1    conda-forge
soupsieve                 2.8                pyhd8ed1ab_0    conda-forge
spacy                     3.8.7           py312hb18ccbb_0    conda-forge
spacy-legacy              3.0.12             pyhd8ed1ab_0    conda-forge
spacy-loggers             1.0.5              pyhd8ed1ab_0    conda-forge
sphinx                    8.3.0              pyhd8ed1ab_0    conda-forge
sphinxcontrib-applehelp   2.0.0              pyhd8ed1ab_1    conda-forge
sphinxcontrib-devhelp     2.0.0              pyhd8ed1ab_1    conda-forge
sphinxcontrib-htmlhelp    2.1.0              pyhd8ed1ab_1    conda-forge
sphinxcontrib-jsmath      1.0.1              pyhd8ed1ab_1    conda-forge
sphinxcontrib-qthelp      2.0.0              pyhd8ed1ab_1    conda-forge
sphinxcontrib-serializinghtml 1.1.10             pyhd8ed1ab_1    conda-forge
spyder                    5.5.6           py312h7900ff3_0    conda-forge
spyder-kernels            2.5.2           unix_pyh707e725_0    conda-forge
sqlalchemy                2.0.43          py312h4c3975b_0    conda-forge
sqlglot                   27.8.0                   pypi_0    pypi
sqlglotrs                 0.6.1                    pypi_0    pypi
sqlite                    3.46.0               h6d4b2fc_0    conda-forge
sqlparams                 6.2.0                    pypi_0    pypi
sqlparse                  0.5.3              pyhd8ed1ab_0    conda-forge
srsly                     2.5.1           py312h2ec8cdc_1    conda-forge
stack_data                0.6.3              pyhd8ed1ab_1    conda-forge
starlette                 0.47.3                   pypi_0    pypi
statsmodels               0.14.5          py312h8b63200_0    conda-forge
streamlit                 1.49.0             pyhd8ed1ab_0    conda-forge
sympy                     1.14.0           pyh2585a3b_105    conda-forge
tabulate                  0.9.0              pyhd8ed1ab_2    conda-forge
tbb                       2021.9.0             hf52228f_0    conda-forge
tblib                     3.1.0              pyhd8ed1ab_0    conda-forge
tenacity                  9.1.2              pyhd8ed1ab_0    conda-forge
tensorboard               2.20.0                   pypi_0    pypi
tensorboard-data-server   0.7.2                    pypi_0    pypi
tensorboardx              2.6.4                    pypi_0    pypi
tensorflow                2.20.0                   pypi_0    pypi
termcolor                 3.1.0              pyhd8ed1ab_0    conda-forge
terminado                 0.18.1             pyh0d859eb_0    conda-forge
terminaltables            3.1.10                   pypi_0    pypi
text-unidecode            1.3                pyhd8ed1ab_2    conda-forge
textblob                  0.19.0                   pypi_0    pypi
textdistance              4.6.3              pyhd8ed1ab_1    conda-forge
thinc                     8.3.6           py312hb18ccbb_0    conda-forge
threadpoolctl             3.6.0              pyhecae5ae_0    conda-forge
three-merge               0.1.1              pyhd8ed1ab_1    conda-forge
tifffile                  2023.8.12          pyhd8ed1ab_0    conda-forge
tinycss2                  1.4.0              pyhd8ed1ab_0    conda-forge
tk                        8.6.14               h39e8969_0  
tldextract                5.3.0              pyhd8ed1ab_0    conda-forge
tokenize-rt               6.2.0                    pypi_0    pypi
tokenizers                0.21.4          py312h6be956c_0    conda-forge
toml                      0.10.2             pyhd8ed1ab_1    conda-forge
tomli                     2.2.1              pyhe01879c_2    conda-forge
tomlkit                   0.13.3             pyha770c72_0    conda-forge
toolz                     1.0.0              pyhd8ed1ab_1    conda-forge
torch                     2.8.0                    pypi_0    pypi
torchvision               0.23.0                   pypi_0    pypi
tornado                   6.5.2           py312h4c3975b_0    conda-forge
tqdm                      4.67.1             pyhd8ed1ab_1    conda-forge
traitlets                 5.14.3             pyhd8ed1ab_1    conda-forge
traittypes                0.2.1              pyh9f0ad1d_2    conda-forge
transformers              4.55.4             pyhd8ed1ab_0    conda-forge
triton                    3.4.0                    pypi_0    pypi
truststore                0.10.3             pyhe01879c_0    conda-forge
twine                     6.1.0              pyh29332c3_0    conda-forge
twisted                   25.5.0          py312h66e93f0_0    conda-forge
typer                     0.16.1             pyhc167863_0    conda-forge
typer-slim                0.16.1             pyhe01879c_0    conda-forge
typer-slim-standard       0.16.1               h810d63d_0    conda-forge
types-python-dateutil     2.9.0.20250822     pyhd8ed1ab_0    conda-forge
typing-extensions         4.15.0               h396c80c_0    conda-forge
typing-inspection         0.4.1              pyhd8ed1ab_0    conda-forge
typing_extensions         4.15.0             pyhcf101f3_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_1    conda-forge
tzdata                    2025b                h78e105d_0    conda-forge
tzlocal                   5.3.1                    pypi_0    pypi
uc-micro-py               1.0.3              pyhd8ed1ab_1    conda-forge
ujson                     5.11.0          py312h8285ef7_0    conda-forge
uncompresspy              0.4.0              pyhd8ed1ab_0    conda-forge
unicodedata2              16.0.0          py312h66e93f0_0    conda-forge
unidecode                 1.3.8              pyh29332c3_1    conda-forge
unixodbc                  2.3.12               h661eb56_0    conda-forge
uri-template              1.3.0              pyhd8ed1ab_1    conda-forge
uritemplate               4.2.0              pyhd8ed1ab_0    conda-forge
urllib3                   2.5.0              pyhd8ed1ab_0    conda-forge
utf8proc                  2.6.1                h5eee18b_1  
uvicorn                   0.35.0                   pypi_0    pypi
uvloop                    0.21.0                   pypi_0    pypi
venusian                  1.2.0                    pypi_0    pypi
versioneer                0.29               pyhd8ed1ab_0    conda-forge
vine                      5.1.0              pyhd8ed1ab_1    conda-forge
virtualenv                20.34.0                  pypi_0    pypi
w3lib                     2.3.1              pyhd8ed1ab_0    conda-forge
wasabi                    1.1.3              pyhd8ed1ab_1    conda-forge
watchdog                  6.0.0           py312h7900ff3_1    conda-forge
watchfiles                1.1.0                    pypi_0    pypi
wcwidth                   0.2.13             pyhd8ed1ab_1    conda-forge
weasel                    0.4.1              pyhd8ed1ab_2    conda-forge
webcolors                 24.11.1            pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_3    conda-forge
websocket-client          1.8.0              pyhd8ed1ab_1    conda-forge
websockets                15.0.1                   pypi_0    pypi
werkzeug                  3.1.3              pyhd8ed1ab_1    conda-forge
whatthepatch              1.0.7              pyhd8ed1ab_1    conda-forge
wheel                     0.45.1             pyhd8ed1ab_1    conda-forge
widgetsnbextension        4.0.14             pyhd8ed1ab_0    conda-forge
wrapt                     1.17.3          py312h4c3975b_0    conda-forge
wurlitzer                 3.1.1              pyhd8ed1ab_1    conda-forge
xarray                    2025.8.0           pyhd8ed1ab_0    conda-forge
xgboost                   3.0.4           cpu_pyhb39878e_0    conda-forge
xlsxwriter                3.2.5              pyhd8ed1ab_0    conda-forge
xorg-libxau               1.0.12               hb9d3cd8_0    conda-forge
xorg-libxdmcp             1.1.5                hb9d3cd8_0    conda-forge
xxhash                    0.8.3                hb47aa4a_0    conda-forge
xyzservices               2025.4.0           pyhd8ed1ab_0    conda-forge
xz                        5.8.1                hbcc6ac9_2    conda-forge
xz-gpl-tools              5.8.1                hbcc6ac9_2    conda-forge
xz-tools                  5.8.1                hb9d3cd8_2    conda-forge
yaml                      0.2.5                h280c20c_3    conda-forge
yaml-cpp                  0.8.0                h3f2d84a_0    conda-forge
yapf                      0.43.0             pyhd8ed1ab_1    conda-forge
yarl                      1.20.1          py312h178313f_0    conda-forge
zeromq                    4.3.5                h59595ed_1    conda-forge
zfp                       1.0.1                h5888daf_2    conda-forge
zict                      3.0.0              pyhd8ed1ab_1    conda-forge
zipp                      3.23.0             pyhd8ed1ab_0    conda-forge
zlib                      1.2.13               h4ab18f5_6    conda-forge
zlib-ng                   2.0.7                h0b41bf4_0    conda-forge
zope                      1.0             py312h06a4308_1  
zope.interface            7.2             py312h66e93f0_0    conda-forge
zstandard                 0.23.0          py312h4c3975b_3    conda-forge
zstd                      1.5.6                ha6fb4c9_0    conda-forge
